committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2021,M2,202110209468113578,29,500737827,1545813,ORG,ORGANIZATION,,,SANDIA RESORT AND CASINO,NM,,,,,VOID CHECK FROM 9/20/2019. NOT REISSUED. AMOUNT WAS COVERED IN 10/10/19 PAYMENT.,,,2021-01-22 00:00:00,-8610.16,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-11-04 16:55:40.094,,,,0.00,,,,,,,,,,,,Y,"",U,F3X,4102120211374312226,ALBUQUERQUE,871132156,OTHER,,2022,SB,4110420211377164774,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468113578,Other Disbursements,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2021,M4,202105209447336863,29,500742834,1517646,PAC,POLITICAL ACTION COMMITTEE,C00027342,C00027342,IBEW PAC,DC,IBEW PAC,,22Z,CONTRIBUTION REFUND TO CANDIDATE/COMMITTEE,VOID REFUND CHECK 10/8/2020 LOST IN MAIL. REISSUED ON 3.19.2021,,,2021-03-04 00:00:00,-5600.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-05-25 07:10:11.43,,,,0.00,,,,,,,,,,,,Y,"",U,F3X,4052120211296776517,WASHINGTON,200013886,REFUNDS,,2022,SB,4052520211297193613,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447336863,Other Disbursements,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2021,M7,202107209451843500,29,500754353,1529306,PAC,POLITICAL ACTION COMMITTEE,C00027342,C00027342,IBEW PAC,DC,IBEW PAC,,,,VOID CHECK ISSUED 3/19/2021 DUE TO CHECK LOST IN MAIL,,,2021-06-22 00:00:00,-5600.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-11 04:55:31.622,,,,0.00,,,,,,,,,,,,Y,"",U,F3X,4072120211321224453,WASHINGTON,200013886,OTHER,,2022,SB,4081120211325932700,https://docquery.fec.gov/cgi-bin/fecimg/?202107209451843500,Other Disbursements,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2021,M2,202110209468113576,23,500737825,1545813,CCM,CAMPAIGN COMMITTEE,C00703975,C00703975,BIDEN FOR PRESIDENT,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK FROM 11/2/2021. REISSUED TO BIDEN VICTORY FUND 1/22/2021,,,2021-01-22 00:00:00,-1550.00,P,PRESIDENT,00,P80000722,"BIDEN, JOSEPH JR",JOSEPH,BIDEN,JR,,,US,UNITED STATES,G2020,,GENERAL,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-11-04 16:55:40.093,,,,0.00,,,,,,,,,,,,Y,"",U,F3X,4102120211374312226,PHILADELPHIA,191028178,CONTRIBUTIONS,,2022,SB,4110420211377164769,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468113576,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2022,M9,202209209528602133,29,500823608,1631102,COM,OTHER COMMITTEE,,,HIGH SCHOOL DEMOCRATS OF AMERICA,WI,,,,,VOIDED CHECK PAYMENT FROM 4/25/22 FOR NONFEDERAL DONATION,,,2022-08-15 00:00:00,-1000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:05.262,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4092020221576068442,SUN PRAIRIE,535901705,OTHER,,2022,SB,4092220221576549006,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528602133,Other Disbursements,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2021,M8,202110209468124476,30B,500758797,1545823,IND,INDIVIDUAL,,,"SLATON, SAMANTHA",NM,,,,,VOID REIMBURSEMENT - HEALTH INSURANCE 5/4/2021. CHECK LOST IN MAIL.,,,2021-07-26 00:00:00,-185.40,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-11-04 16:55:40.095,,,,0.00,SLATON,SAMANTHA,,,,,,,,,,Y,"",U,F3X,4102120211374312235,ALBUQUERQUE,871257615,OTHER,,2022,SB,4110420211377164800,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468124476,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2021,M8,202110209468124477,30B,500758798,1545823,ORG,ORGANIZATION,,,CARE FIRST,DC,,,,,VOID REIMBURSEMENT- HEALTH INSURANCE,X,,2021-07-26 00:00:00,-185.40,,,,,,,,,,,,,,,,,C,CHANGE,ITEMIZED DISBURSEMENTS,2021-11-04 16:55:40.095,,500758797,SB30B,0.00,,,,,,,,,,,,Y,"",U,F3X,4102120211374312235,WASHINGTON,200650003,OTHER,*,2022,SB,4110420211377164801,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468124477,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2022,M8,202208199525551765,21B,500819282,1625591,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2022-07-31 00:00:00,0.04,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-26 03:36:32.512,,,,0.00,,,,,,,,,,,,Y,"",U,F3X,4081920221565480183,SOMERVILLE,021443132,OTHER,,2022,SB,4082520221566279194,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525551765,Other Federal Operating Expenditures,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2022,M9,202209209528602126,21B,500823000,1631102,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2022-08-29 00:00:00,0.92,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:05.257,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4092020221576068442,SOMERVILLE,021443132,OTHER,,2022,SB,4092220221576548987,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528602126,Other Federal Operating Expenditures,,,,,,
C00161810,DEMOCRATIC PARTY OF NEW MEXICO - FEDERAL,2021,M6,202106189449393985,21B,500752908,1520643,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2021-05-31 00:00:00,1.51,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-06-25 04:58:48.088,,,,0.00,,,,,,,,,,,,Y,"",U,F3X,4061920211309407046,SOMERVILLE,021443132,OTHER,,2022,SB,4062520211311678990,https://docquery.fec.gov/cgi-bin/fecimg/?202106189449393985,Other Federal Operating Expenditures,,,,,,
