committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2021,M6,202106179449196305,21B,B029A7CBB60684453BFF,1520355,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2021-05-04 00:00:00,0.17,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-06-23 04:55:41.069,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4061820211308552041,ARLINGTON,222191891,OTHER,,2022,SB,4062320211309667848,https://docquery.fec.gov/cgi-bin/fecimg/?202106179449196305,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2022,M4,202205049502564109,21B,B933A792F4661491883A,1591912,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2022-03-30 00:00:00,0.47,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-05-15 07:56:49.893,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4050420221474237047,ARLINGTON,222191891,OTHER,,2022,SB,4051420221486519399,https://docquery.fec.gov/cgi-bin/fecimg/?202205049502564109,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2022,M6,202206169514918140,21B,B97DFD23BB9E0483B8A5,1602470,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2022-05-25 00:00:00,0.47,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-06-18 03:36:21.273,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4061720221530229010,ARLINGTON,222191891,OTHER,,2022,SB,4061720221530346770,https://docquery.fec.gov/cgi-bin/fecimg/?202206169514918140,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2022,M8,202208159525399188,21B,B929CA7206A2040EE9F9,1624075,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2022-07-24 00:00:00,0.47,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-18 03:37:32.084,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4081520221564798126,ARLINGTON,222191891,OTHER,,2022,SB,4081720221565052971,https://docquery.fec.gov/cgi-bin/fecimg/?202208159525399188,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2022,M9,202209159528477456,21B,B2D29879AE62D46B7B55,1629660,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2022-08-25 00:00:00,0.47,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-16 14:40:22.492,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4091520221575533049,ARLINGTON,222191891,OTHER,,2022,SB,4091520221575577093,https://docquery.fec.gov/cgi-bin/fecimg/?202209159528477456,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2021,M7,202107189451679721,21B,B2A5A29E2227247D3900,1528379,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2021-06-15 00:00:00,0.59,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-04 04:54:39.685,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4071920211321070017,ARLINGTON,222191891,OTHER,,2022,SB,4080420211324602997,https://docquery.fec.gov/cgi-bin/fecimg/?202107189451679721,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2022,M8,202208159525399185,21B,B50255D2D979F49A9A97,1624075,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2022-07-12 00:00:00,0.59,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-18 03:37:32.073,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4081520221564798126,ARLINGTON,222191891,OTHER,,2022,SB,4081720221565052962,https://docquery.fec.gov/cgi-bin/fecimg/?202208159525399185,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2021,M7,202107189451679719,21B,B9D33D7D1DB8E4B279A7,1528379,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2021-06-03 00:00:00,0.63,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-08-04 04:54:39.685,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4071920211321070017,ARLINGTON,222191891,OTHER,,2022,SB,4080420211324602992,https://docquery.fec.gov/cgi-bin/fecimg/?202107189451679719,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2021,M9,202109169466698514,21B,B0823F180E7B240B9B97,1538231,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2021-08-10 00:00:00,0.68,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-09-17 03:53:01.807,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4091720211370875032,ARLINGTON,222191891,OTHER,,2022,SB,4091720211371023162,https://docquery.fec.gov/cgi-bin/fecimg/?202109169466698514,Other Federal Operating Expenditures,,,,,,
C00020818,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,2021,M11,202111159468494181,21B,BE22BC2F1113446E1A94,1548158,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CREDIT CARD FEES,,,2021-10-08 00:00:00,0.68,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-11-16 12:22:50.351,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4111620211378391006,ARLINGTON,222191891,OTHER,,2022,SB,4111620211378588347,https://docquery.fec.gov/cgi-bin/fecimg/?202111159468494181,Other Federal Operating Expenditures,,,,,,
